id,school_name,city,x_frpm,y_greenery_index
43696666048714,Terrell Elementary,San Jose,0.541,0.5055345941199418
43696666048722,Hacienda Science/Environmental Magnet,San Jose,0.223,0.4867416458316578
43696666048730,Walter L. Bachrodt Elementary,San Jose,0.613,0.4482990416125167
43696666048748,Washington Elementary,San Jose,0.83,0.4299110855171042
43696666048755,Williams Elementary,San Jose,0.0819999999999999,0.4045503629745171
43696666048763,Willow Glen Elementary,San Jose,0.359,0.4930283981400555
43696666060099,Bret Harte Middle,San Jose,0.119,0.5718361405276943
43696666060107,Willow Glen Middle,San Jose,0.367,0.5948026207401299
43696666060115,John Muir Middle,San Jose,0.542,0.5234897108084465
43696666062103,Muwekma Ohlone Middle,San Jose,0.687,0.5321097340511233
43696666062111,Herbert Hoover Middle,San Jose,0.63,0.6744765404920807
43696666093074,Los Alamitos Elementary,San Jose,0.121,0.4833092480143581
43696666093082,Graystone Elementary,San Jose,0.088,0.5110152731486757
43696666093090,Rachel Carson Elementary,San Jose,0.472,0.5093344006561081
43696666095418,Castillero Middle,San Jose,0.32,0.5254390962797013
43696666119010,Ernesto Galarza Elementary,San Jose,0.773,0.7234383034232276
43696740110700,Don Callejon,Santa Clara,0.213,0.7154640954550621
43696740133363,Central Park Elementary,Santa Clara,0.198,0.3387003369077954
43696740140475,Abram Agnew Elementary,San Jose,0.25,0.2509272946006586
43696740140483,Dolores Huerta Middle,San Jose,0.37,0.3441841511970199
43696740141283,Kathleen MacDonald High,San Jose,0.318,0.21710499275571
43696744330122,Santa Clara High,Santa Clara,0.236,0.2949252067997823
43696744338802,Adrian Wilcox High,Santa Clara,0.26,0.3654980051108345
43696746048797,Bowers Elementary,Santa Clara,0.596,0.6372542807531848
43696746048805,Bracher Elementary,Santa Clara,0.335,0.4998448242155972
43696746048813,Braly Elementary,Sunnyvale,0.315,0.6223106741992247
43696746048821,Briarwood Elementary,Santa Clara,0.3989999999999999,0.4946823688932178
43696746048847,C. W. Haman Elementary,Santa Clara,0.284,0.4389078048271151
43696746048854,Juan Cabrillo Middle,Santa Clara,0.261,0.4555461696463337
43696746048896,Kathryn Hughes Elementary,Santa Clara,0.413,0.4426084875776996
43696746048904,Laurelwood Elementary,Santa Clara,0.1119999999999999,0.4747229428406907
43696746048920,Millikin Elementary,Santa Clara,0.042,0.6888021992932819
43696746048938,Montague Elementary,Santa Clara,0.39,0.3601070561897974
43696746048987,Pomeroy Elementary,Santa Clara,0.433,0.4535423383550989
43696746048995,Ponderosa Elementary,Sunnyvale,0.284,0.4846888572016511
43696746049019,Scott Lane Elementary,Santa Clara,0.552,0.4533299252463337
43696746049027,Sutter Elementary,Santa Clara,0.146,0.5299681206400341
43696746049035,Washington Open Elementary,Santa Clara,0.0819999999999999,0.4301682877418738
43696746049043,Westwood Elementary,Santa Clara,0.375,0.7676601784054835
