id,school_name,city,lat,lon,ndvi_mean,greenery_index_ndvi_nlcd,percent_eligible_frpm_k12,frpm_quartile_label,marker_color
43694356047138,Evergreen Elementary,San Jose,37.310525,-121.77793,0.2575792949412173,0.4608115043122165,0.153,0-25%,#8b9b8b
43694356047146,Holly Oak Elementary,San Jose,37.31875,-121.79765,0.2178505460748926,0.3673015714261744,0.537,50-75%,#99a599
43694356047153,Katherine R. Smith Elementary,San Jose,37.326253,-121.82206,0.1348297406790998,0.2605720186052171,0.737,50-75%,#b5bab5
43694356047161,O. B. Whaley Elementary,San Jose,37.31619,-121.82424,0.2800219772925086,0.4115508841485242,0.679,50-75%,#849584
43694356047179,Quimby Oak Middle,San Jose,37.324774,-121.78708,0.2294692764757692,0.3695387303871103,0.305,25-50%,#95a295
43694356067193,Cedar Grove Elementary,San Jose,37.331164,-121.79361,0.2180174099222607,0.3543676230790457,0.483,25-50%,#99a599
43694356085690,George V. LeyVa Intermediate,San Jose,37.314281,-121.81263,0.1695042559006657,0.3056188461484827,0.617,50-75%,#aab1aa
43694356095988,John J. Montgomery Elementary,San Jose,37.307734,-121.80108,0.2574625974664198,0.4941161990934681,0.589,50-75%,#8b9b8b
43694356102081,Norwood Creek Elementary,San Jose,37.328173,-121.78862,0.2842928187552556,0.5013685159112192,0.27,25-50%,#829482
43694356105787,Millbrook Elementary,San Jose,37.319487,-121.78805,0.266904461227424,0.4620520841617612,0.308,25-50%,#889988
43694356110159,Chaboya Middle,San Jose,37.312333,-121.768,0.3962406372228744,0.575106257310858,0.1639999999999999,0-25%,#5c785c
43694356111942,Silver Oak Elementary,San Jose,37.284241,-121.77369,0.4327396319770107,0.7842075074790497,0.087,0-25%,#4f6e4f
43694356115851,Tom Matsumoto Elementary,San Jose,37.312017,-121.76502,0.2489768309959584,0.438000442321913,0.133,0-25%,#8e9d8e
43694356117956,James Franklin Smith Elementary,San Jose,37.297368,-121.78799,0.2688949865788865,0.5403730589598035,0.1009999999999999,0-25%,#889888
43694500127225,College Connection Academy,San Jose,37.320115,-121.84751,0.1999377293178706,0.3951618520245885,0.653,50-75%,#9faa9f
43694506047195,Franklin Elementary,San Jose,37.305453,-121.85107,0.1264339492105154,0.2672015386160093,0.8079999999999999,75-100%,#b8bcb8
43694506047211,Captain Jason M. Dahl Elementary,San Jose,37.288155,-121.84003,0.2397625616785141,0.4401574718778413,0.856,75-100%,#929f92
43694506047229,Bridges Academy,San Jose,37.325456,-121.84646,0.2493363976489065,0.4476464425692135,0.894,75-100%,#8e9d8e
43694506047237,G. W. Hellyer Elementary,San Jose,37.284831,-121.82029,0.226476154569221,0.3624328597049362,0.789,75-100%,#96a396
43694506047245,Jeanne R. Meadows Elementary,San Jose,37.320969,-121.83953,0.2182388280945812,0.3704857737217897,0.8109999999999999,75-100%,#99a599
43694506047252,Santee Elementary,San Jose,37.328062,-121.84671,0.2118390922747535,0.3716351810198235,0.899,75-100%,#9ba79b
43694506047260,Lairon College Preparatory Academy,San Jose,37.28238,-121.82885,0.2263661437520767,0.4314016028213027,0.818,75-100%,#96a396
43694506047278,Sylvandale Middle,San Jose,37.287864,-121.82531,0.2263594411176062,0.4208387654774074,0.745,50-75%,#96a396
43694506067201,Robert F. Kennedy Elementary,San Jose,37.324997,-121.8524,0.1399183728268709,0.263537193591246,0.903,75-100%,#b4b9b4
43694506071542,Stonegate Elementary,San Jose,37.308515,-121.83635,0.1943067741303227,0.3321838187872336,0.76,75-100%,#a1aba1
43694506105795,Windmill Springs Elementary,San Jose,37.306212,-121.82428,0.2097299559048483,0.3750288201024015,0.747,50-75%,#9ca79c
43694506115943,"Shirakawa (George, Sr.) Elementary",San Jose,37.316085,-121.84974,0.5266413030272502,0.9512496034549774,0.8270000000000001,75-100%,#2f562f
43694684331799,Cupertino High,Cupertino,37.319663,-122.01041,0.2494367792842756,0.54198278631614,0.102,0-25%,#8e9d8e
43694684332474,Fremont High,Sunnyvale,37.352616,-122.035,0.1272369847967839,0.2615860096624203,0.237,0-25%,#b8bcb8
43694684333316,Homestead High,Cupertino,37.3366,-122.04887,0.0806191480513631,0.2023805881406029,0.159,0-25%,#c8c8c8
43694684334421,Lynbrook High,San Jose,37.300713,-122.00647,0.300612585765765,0.5048586571905712,0.065,0-25%,#7d907d
43694684334462,Monta Vista High,Cupertino,37.315469,-122.05719,0.2110368364956381,0.4074340153627545,0.06,0-25%,#9ba79b
43694840100990,Solorsano Middle,Gilroy,37.000729,-121.59304,0.2191224244382419,0.3425885585985446,0.489,25-50%,#99a599
43694840114496,Dr. TJ Owens Gilroy Early College Academy,Gilroy,36.968352,-121.56335,0.3827862045805536,0.5722591722429151,0.3979999999999999,25-50%,#617b61
43694840118380,Christopher High,Gilroy,37.038444,-121.60013,0.210724149074502,0.3365471322077691,0.38,25-50%,#9ba79b
43694844332839,Gilroy High,Gilroy,36.997203,-121.57599,0.2980499459392217,0.534881129609835,0.512,50-75%,#7e917e
43694846047286,Luigi Aprea Elementary,Gilroy,37.025388,-121.60346,0.3384438886685765,0.5548300292637828,0.36,25-50%,#708670
43694846047294,El Roble Elementary,Gilroy,37.008076,-121.58551,0.3287555048602603,0.59075006905314,0.575,50-75%,#738973
43694846047302,Eliot Elementary,Gilroy,37.005988,-121.5617,0.2584262398864667,0.4508319726546952,0.78,75-100%,#8b9b8b
43694846047310,Glen View Elementary,Gilroy,37.001141,-121.57424,0.2973011455633964,0.4332857972279249,0.74,50-75%,#7e917e
43694846047328,Las Animas Elementary,Gilroy,36.98984,-121.58155,0.1612732779393295,0.2834477095408287,0.413,25-50%,#acb3ac
43694846047336,Rucker Elementary,Gilroy,37.054209,-121.58602,0.293612567925535,0.4183597399611715,0.6409999999999999,50-75%,#7f927f
43694846098214,South Valley Middle,Gilroy,37.016304,-121.56703,0.1388230223371302,0.259172644046853,0.556,50-75%,#b4b9b4
43694846106991,Rod Kelley Elementary,Gilroy,37.021191,-121.59161,0.2592175804842792,0.3999121291658127,0.541,50-75%,#8b9b8b
43694846111785,Brownell Middle,Gilroy,37.01106,-121.57878,0.4343926890637373,0.6311873020550237,0.563,50-75%,#4f6e4f
